# Matter power spectrum P(k) at redshift z=0
# for k=1.19539e-05 to 1.11487 h/Mpc,
# number of wavenumbers equal to 534
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.195390303516e-05       1.907506861814e+07 
       2.544734927267e-05       1.930742848113e+06 
       3.899580527545e-05       5.311092857027e+05 
       5.263929202253e-05       2.151552037484e+05 
       6.641858472434e-05       1.072084527816e+05 
       8.037561165267e-05       6.077349252735e+04 
       9.455386731632e-05       3.762378437346e+04 
       1.089988459477e-04       2.483075543552e+04 
       1.237585013087e-04       1.720413932840e+04 
       1.388837388545e-04       1.238335993415e+04 
       1.544289462671e-04       9.192113177767e+03 
       1.704525682116e-04       6.999085943602e+03 
       1.870177307899e-04       5.444552126605e+03 
       2.041929204281e-04       4.313758450322e+03 
       2.220527206675e-04       3.472877566134e+03 
       2.406786082884e-04       2.835717547023e+03 
       2.601598070762e-04       2.345098160508e+03 
       2.805941929400e-04       1.961941882092e+03 
       3.020892375305e-04       1.659108344339e+03 
       3.247629684007e-04       1.417183328411e+03 
       3.487449114885e-04       1.222218057179e+03 
       3.741769656760e-04       1.063858974630e+03 
       4.012141389798e-04       9.344246388244e+02 
       4.300250515565e-04       8.280961130735e+02 
       4.607920830028e-04       7.404173151088e+02 
       4.937110125502e-04       6.679577728256e+02 
       5.289899748649e-04       6.080242286791e+02 
       5.668475379762e-04       5.585003271043e+02 
       6.075097129266e-04       5.177133628182e+02 
       6.512057388678e-04       4.843225886653e+02 
       6.981625645495e-04       4.572437707126e+02 
       7.485980757547e-04       4.355942421417e+02 
       8.027132969687e-04       4.186503490972e+02 
       8.606840074162e-04       4.058078334319e+02 
       9.226524201536e-04       3.965558429052e+02 
       9.887197253911e-04       3.904549807770e+02 
       1.058940339033e-03       3.871246138020e+02 
       1.133318584713e-03       3.862166840259e+02 
       1.211808270295e-03       3.874216583518e+02 
       1.294315243724e-03       3.904567157590e+02 
       1.380702612143e-03       3.950565793200e+02 
       1.470797976581e-03       3.992822891240e+02 
       1.564401843188e-03       4.035245786172e+02 
       1.661296345957e-03       4.092763362800e+02 
       1.761253532307e-03       4.162090736647e+02 
       1.864042667904e-03       4.240340831752e+02 
       1.969436249137e-03       4.325008558523e+02 
       2.077214621507e-03       4.413895385074e+02 
       2.187169261400e-03       4.505092136814e+02 
       2.299104879563e-03       4.596941198154e+02 
       2.412840553090e-03       4.687997562865e+02 
       2.528210102044e-03       4.777032083702e+02 
       2.645061911091e-03       4.862956224779e+02 
       2.763258367687e-03       4.944878931058e+02 
       2.882675055200e-03       5.022008851862e+02 
       3.003199807219e-03       5.093706121684e+02 
       3.124731701059e-03       5.159417802678e+02 
       3.247180045286e-03       5.218720355228e+02 
       3.370463397832e-03       5.271240904720e+02 
       3.494508637580e-03       5.316724511695e+02 
       3.619250102299e-03       5.354971962919e+02 
       3.744628798782e-03       5.385848255699e+02 
       3.870591686271e-03       5.409264929518e+02 
       3.997091031176e-03       5.425212910994e+02 
       4.124083829183e-03       5.433731830722e+02 
       4.251531289825e-03       5.434870505267e+02 
       4.379398378127e-03       5.428744673038e+02 
       4.507653407832e-03       5.415512034635e+02 
       4.636267680912e-03       5.395339299389e+02 
       4.765215168350e-03       5.368417873602e+02 
       4.894472227561e-03       5.334994884110e+02 
       5.024017352248e-03       5.295311631283e+02 
       5.153830950914e-03       5.249631526354e+02 
       5.283895150612e-03       5.198237471006e+02 
       5.414193622970e-03       5.141434327964e+02 
       5.544711429786e-03       5.079509471827e+02 
       5.675434885878e-03       5.012791868947e+02 
       5.806351437127e-03       4.941547457021e+02 
       5.937449551883e-03       4.866187666916e+02 
       6.068718624168e-03       4.786967878223e+02 
       6.200148887275e-03       4.704298101661e+02 
       6.331731336552e-03       4.618487924238e+02 
       6.463457660287e-03       4.529731150427e+02 
       6.595320177787e-03       4.438431164429e+02 
       6.727311783795e-03       4.344769948538e+02 
       6.859425898553e-03       4.249374706986e+02 
       6.991656422872e-03       4.152164975849e+02 
       7.123997697640e-03       4.053796503885e+02 
       7.256444467298e-03       3.954377324233e+02 
       7.388991846837e-03       3.854059924459e+02 
       7.521635291957e-03       3.753160532277e+02 
       7.654370572022e-03       3.651995848335e+02 
       7.787193745549e-03       3.550751178757e+02 
       7.920101137945e-03       3.449658795754e+02 
       8.053089321268e-03       3.348993322990e+02 
       8.186155095810e-03       3.248907563128e+02 
       8.319295473309e-03       3.149399600045e+02 
       8.452507661643e-03       3.050884113798e+02 
       8.585789050841e-03       2.953453849356e+02 
       8.719137200303e-03       2.857237974368e+02 
       8.852549827096e-03       2.762329951084e+02 
       8.986024795237e-03       2.668942421365e+02 
       9.119560105858e-03       2.577172255672e+02 
       9.253153888190e-03       2.487068463038e+02 
       9.386804391263e-03       2.398724309468e+02 
       9.520509976285e-03       2.312216760452e+02 
       9.654269109623e-03       2.227675363932e+02 
       9.788080356337e-03       2.145059972747e+02 
       9.921942374216e-03       2.064483559283e+02 
       1.005585390828e-02       1.985985161638e+02 
       1.018981378570e-02       1.909571997152e+02 
       1.032382091111e-02       1.835283183726e+02 
       1.045787426225e-02       1.763132454689e+02 
       1.059197288596e-02       1.693026375147e+02 
       1.072611589447e-02       1.625213436468e+02 
       1.086030246195e-02       1.559393035886e+02 
       1.099453182131e-02       1.495811463102e+02 
       1.112880326125e-02       1.434298914010e+02 
       1.126311612349e-02       1.374863700749e+02 
       1.139746980027e-02       1.317495275796e+02 
       1.153186373192e-02       1.262162078677e+02 
       1.166629740473e-02       1.208829038161e+02 
       1.180077034884e-02       1.157463762210e+02 
       1.193528213639e-02       1.108056139898e+02 
       1.206983237975e-02       1.060501765217e+02 
       1.220442072986e-02       1.014794507676e+02 
       1.233904687474e-02       9.708931243032e+01 
       1.247371053804e-02       9.287366334618e+01 
       1.260841147776e-02       8.882903968967e+01 
       1.274314948502e-02       8.494988553391e+01 
       1.287792438290e-02       8.123312038907e+01 
       1.301273602543e-02       7.766813880363e+01 
       1.314758429658e-02       7.425436071839e+01 
       1.328246910938e-02       7.099521747396e+01 
       1.341739040508e-02       6.787275201383e+01 
       1.355234815236e-02       6.488766468344e+01 
       1.368734234663e-02       6.203376868470e+01 
